osmid,highway,oneway,reversed,length,geometry,name,ref,access,lanes,tunnel,maxspeed,bridge,junction
28161299,residential,False,False,277.245,"LINESTRING (80.2532029 13.0788454, 80.2531206 13.0809911, 80.25311 13.0810002, 80.2530163 13.0810814, 80.2529386 13.08121, 80.2529099 13.0812642)",,,,,,,,
102030532,secondary,False,False,13.015,"LINESTRING (80.2516867 13.0788878, 80.2516945 13.078771)",Gengu Reddy Road,,,,,,,
1149819098,primary,True,False,24.695,"LINESTRING (80.2516867 13.0788878, 80.2519147 13.0788877)",EVR Periyar Salai,SHU86,yes,,,,,
1416040846,primary,True,False,52.923,"LINESTRING (80.2501014 13.0788576, 80.2504317 13.0788705, 80.2505897 13.0788665)",EVR Periyar Salai,SHU86,yes,,,,,
1042122764,residential,True,False,19.635,"LINESTRING (80.2406122 13.0773336, 80.2406996 13.0774883)",Vasu Street,,,,,,,
1289116083,primary,True,False,11.319,"LINESTRING (80.2406122 13.0773336, 80.2407127 13.0773615)",EVR Periyar Salai,SHU86,yes,,,,,
184720014,primary,True,False,11.878,"LINESTRING (80.2380064 13.0766849, 80.2380497 13.0766953, 80.2381129 13.0767104)",EVR Periyar Salai,SHU86,yes,,,,,
1366537186,tertiary,True,False,36.694,"LINESTRING (80.2380064 13.0766849, 80.23804 13.0769598, 80.2380649 13.0770071)",Taylors Road,,,,,,,
23802583,secondary,False,True,175.478,"LINESTRING (80.2338977 13.0758601, 80.2336496 13.0774196)",New Avadi Road,,,,,,,
184720016,secondary_link,False,False,13.427,"LINESTRING (80.2338977 13.0758601, 80.2339148 13.0757405)",New Avadi Road,,,,,,,
184720015,primary,True,False,162.80700000000002,"LINESTRING (80.2338977 13.0758601, 80.2345945 13.0760062, 80.2353672 13.0761681)",EVR Periyar Salai,SHU86,,2,,,,
26748486,residential,False,False,40.637,"LINESTRING (80.229074 13.0741092, 80.2289866 13.0737538)",,,,,,,,
186080195,primary,True,False,165.171,"LINESTRING (80.229074 13.0741092, 80.2283965 13.0740238, 80.2275579 13.0739524)",EVR Periyar Salai,SHU86,,,,,,
186080195,primary,True,False,8.024,"LINESTRING (80.2247736 13.0739518, 80.2247 13.07396)",EVR Periyar Salai,SHU86,,,,,,
1258018711,tertiary,False,False,18.731,"LINESTRING (80.2117598 13.0769454, 80.211775 13.0771132)",,,,,,,,
"[1287586755, 1373597956, 1370773102]",primary,True,False,120.70599999999999,"LINESTRING (80.2117598 13.0769454, 80.211493 13.076979, 80.211262 13.0770081, 80.2111473 13.0770217, 80.2109753 13.0770421, 80.2106543 13.0770826)",EVR Periyar Salai,SHU86,,2,,,,
207260566,residential,False,True,98.05000000000001,"LINESTRING (80.2069314 13.0769988, 80.2069105 13.0764281, 80.2068984 13.0761176)",,,,,,,,
1287586755,primary,True,False,64.363,"LINESTRING (80.2069314 13.0769988, 80.2066779 13.0769768, 80.2063433 13.0769195)",EVR Periyar Salai,SHU86,,2,,,,
25459750,tertiary,False,True,7.99,"LINESTRING (80.2265181 13.0681164, 80.2265647 13.0681721)",Vada Agaram Road,,,,,,,
835030600,secondary,True,False,63.548,"LINESTRING (80.2265181 13.0681164, 80.226058 13.068471)",Nelson Manickam Road,,,2,,,,
211260243,secondary,True,False,35.681,"LINESTRING (80.2472598 13.070992, 80.2475654 13.0711118)",Mayor Ramanathan Road (Spur Tank Road),,,,,,,
1113247773,residential,False,False,7.683,"LINESTRING (80.2472598 13.070992, 80.2472948 13.0709319)",,,,,,,,
28295574,residential,False,False,103.684,"LINESTRING (80.2472598 13.070992, 80.2471326 13.0716136, 80.2470558 13.0719027)",,,,,,,,
23030553,residential,False,False,32.002,"LINESTRING (80.2481355 13.0713354, 80.2480959 13.0716206)",,,,,,,,
23030553,residential,False,True,8.123,"LINESTRING (80.2481355 13.0713354, 80.2481263 13.0712629)",,,,,,,,
186797300,secondary,False,True,17.427,"LINESTRING (80.2522342 13.0747212, 80.2522316 13.0748779)",Gengu Reddy Road,,,,,,,
186797300,secondary,False,False,9.542,"LINESTRING (80.2522302 13.0749637, 80.2522316 13.0748779)",Gengu Reddy Road,,,,,,,
"[102030553, 29115467, 566573623]",secondary,False,True,376.63200000000006,"LINESTRING (80.2522302 13.0749637, 80.2521424 13.0761948, 80.2520943 13.0764299, 80.252011 13.0768725, 80.2519303 13.0772859, 80.2518498 13.0777223, 80.251737 13.0783113)",Gengu Reddy Subway,,,,yes,,,
995118269,residential,False,False,264.879,"LINESTRING (80.2522302 13.0749637, 80.2521116 13.0750175, 80.2520458 13.075819, 80.2520394 13.0758393, 80.2520217 13.0758535, 80.2519991 13.0758593, 80.2516754 13.0757803, 80.2510872 13.0756319, 80.2507855 13.0755666, 80.2507268 13.0755728, 80.2506195 13.0756031)",,,,,,,,
23030553,residential,False,True,75.887,"LINESTRING (80.247713 13.0737627, 80.2478224 13.0730886)",,,,,,,,
23046393,residential,False,True,68.923,"LINESTRING (80.247713 13.0737627, 80.2470805 13.0736948)",Mayor Sathyamurthy Road,,,,,,,
23046393,residential,False,False,154.194,"LINESTRING (80.247713 13.0737627, 80.2480032 13.0737908, 80.2482787 13.0738174, 80.248767 13.0738647, 80.2491281 13.0739125)",Mayor Sathyamurthy Road,,,,,,,
23030553,residential,False,False,75.887,"LINESTRING (80.2478224 13.0730886, 80.247713 13.0737627)",,,,,,,,
