edge_id,source_node,target_node,length,road_type
28161299,0,1,277.245,residential
102030532,1,2,13.015,secondary
1149819098,2,3,24.695,primary
1416040846,3,4,52.923,primary
1042122764,4,5,19.635,residential
1289116083,5,6,11.319,primary
184720014,6,7,11.878,primary
1366537186,7,8,36.694,tertiary
23802583,8,9,175.478,secondary
184720016,9,10,13.427,secondary_link
184720015,10,11,162.80700000000002,primary
26748486,11,12,40.637,residential
186080195,12,13,165.171,primary
186080195,13,14,8.024,primary
1258018711,14,15,18.731,tertiary
"[1287586755, 1373597956, 1370773102]",15,16,120.706,primary
207260566,16,17,98.05,residential
1287586755,17,18,64.363,primary
25459750,18,19,7.99,tertiary
835030600,19,20,63.548,secondary
211260243,20,21,35.681,secondary
1113247773,21,22,7.683,residential
28295574,22,23,103.684,residential
23030553,23,24,32.002,residential
23030553,24,25,8.123,residential
186797300,25,26,17.427,secondary
186797300,26,27,9.542,secondary
"[102030553, 29115467, 566573623]",27,28,376.63200000000006,secondary
995118269,28,29,264.879,residential
23030553,29,30,75.887,residential
23046393,30,31,68.923,residential
23046393,31,32,154.194,residential
23030553,32,33,75.887,residential
23030553,33,34,69.811,residential
112716605,34,35,106.019,residential
112716605,35,36,152.981,residential
155785663,36,37,7.38,tertiary
28161972,37,38,108.573,tertiary
26748540,38,39,49.208,residential
28161972,39,40,69.911,tertiary
28161972,40,41,79.508,tertiary
1434321183,41,42,7.163,residential
1287029250,42,43,54.33,tertiary
1287029250,43,44,17.899,tertiary
100857282,44,45,206.179,primary
26748533,45,46,65.645,residential
1107322882,46,47,76.3,residential
1107322884,47,48,21.501,residential
1107322882,48,49,35.102,residential
1107322882,49,50,76.3,residential
26748538,50,51,94.233,residential
1107322882,51,52,32.282,residential
1107322882,52,53,35.102,residential
"[112869313, 26748532]",53,54,98.952,residential
26748525,54,55,54.192,residential
26748531,55,56,30.09,residential
1107322882,56,57,3.973,residential
26748553,57,58,4.099,tertiary
23046393,58,59,74.282,residential
23046395,59,60,14.733,residential
217685947,60,61,4.771,residential
112716532,61,62,64.807,residential
217685947,62,63,18.266,residential
217685947,63,64,23.253,residential
28295565,64,65,7.728,residential
